PISTECYCLABLE_IDG|NOMVILLE|NOMDESTINATIONSHERBROOKE|NOMMTQ|REMARQUE|LARGEUR|TYPE_resolved|TYPEREVETEMENT_resolved|TYPEMTQ1_resolved|TYPEMTQ2_resolved|METHODECAPTAGEID_resolved|Shape_len00|_geometry
2844||| ||0,000000000000000|Indéterminé|Non déterminé||Piste cyclable en site propre|Approximation|327,469325880220030|LINESTRING (-71.8668320397243 45.4436602711138,-71.8668123415425 45.4436488672279,-71.8670047307256 45.4434584037376,-71.8670781049731 45.4433810538734,-71.8671496325131 45.443302725428,-71.8672192073766 45.443223529456,-71.8672868084304 45.4431434905101,-71.8673524145423 45.4430626331428,-71.8674160058579 45.4429809818915,-71.8674775625453 45.4428985621929,-71.8675370412964 45.4428154330595,-71.8676215215615 45.4426907056004,-71.8676749449977 45.4426069047245,-71.8677263114308 45.4425224130717,-71.8677755753247 45.4424373031786,-71.8678227207051 45.4423516013349,-71.8678677341317 45.4422653329004,-71.8679106022085 45.4421785250335,-71.8679513114961 45.4420912030937,-71.8679898474077 45.4420033978532,-71.8680278151206 45.4419110758271,-71.8680620762992 45.4418209461447,-71.8680941065844 45.4417303851486,-71.8681238855015 45.4416394443775,-71.8681514060675 45.4415481518125,-71.8681766587223 45.4414565345653,-71.8681996364832 45.4413646206168,-71.8682203323896 45.441272438847,-71.8682387394593 45.4411800172363,-71.8682548452559 45.4410874225243,-71.8682747761013 45.4409475818125)
2845||SAINT-FRANÇOIS|Route verte / Sentier transcanadien||3,000000000000000|Cyclo pédestre|Asphalte|Piste cyclable|Piste cyclable en site propre|Approximation|167,232975173510000|LINESTRING (-71.9014811862039 45.4147936304428,-71.901381458807 45.4146295273857,-71.9013059946438 45.414500956265,-71.9012663752147 45.4144312577854,-71.9012435026922 45.4143860657794,-71.9012250588265 45.414349717251,-71.9012030709171 45.4143119283334,-71.9011865853607 45.4142696238899,-71.9011709490006 45.4142332409055,-71.9011456173074 45.4141737460715,-71.9011187964075 45.4141108095381,-71.9010807126681 45.4139896876118,-71.9010443003951 45.4138794199802,-71.9010033864252 45.4137573446983,-71.9009774319501 45.4136726505661,-71.9009679871311 45.4136312477604,-71.9009541614537 45.4135829796668,-71.9009330742057 45.4134602822883,-71.9009184333376 45.4133500615815)
2846||| ||3,000000000000000|Piste cyclable (exclusif)|Asphalte|Piste cyclable|Piste cyclable en site propre|Approximation|10,950839706616099|LINESTRING (-71.9014811862039 45.4147936304428,-71.9013510454933 45.4148297749017)
2848||| ||3,000000000000000|Cyclo pédestre|Criblure de pierre|Piste cyclable|Piste cyclable en site propre|Approximation|76,163691323359600|LINESTRING (-71.8917340063871 45.413584811441,-71.8923654549484 45.4130634739903)
2850||AXE DORMAN| ||3,000000000000000|Bande cyclable (marquage)|Asphalte|Voie partagée|Chaussée désignée|Approximation|20,533640355523900|LINESTRING (-71.8412319433018 45.4116484423324,-71.8411357537225 45.4114765647559)
2851||AXE DORMAN| ||3,000000000000000|Piste cyclable (exclusif)|Asphalte|Piste cyclable|Piste cyclable en site propre|Approximation|37,089811711762898|LINESTRING (-71.8412702498155 45.4119718756831,-71.8412379316435 45.4119013966184,-71.8412166767006 45.4118394622726,-71.8412125419559 45.4117934091715,-71.8412207341141 45.4117536435051,-71.8412278097941 45.4117310458935,-71.8412454881814 45.4117061793916,-71.8412430202724 45.4116882255604,-71.8412404497801 45.4116740874431,-71.8412361768865 45.4116587887022,-71.8412319433018 45.4116484423324)
2852||AXE DORMAN| ||3,000000000000000|Bande cyclable (marquage)|Asphalte|Piste cyclable|Piste cyclable au niveau du trottoir|Approximation|43,296391688139302|LINESTRING (-71.8686766895756 45.4283179235764,-71.8684245521087 45.4282892007519,-71.8683637684311 45.4282877901037,-71.8683131760739 45.4282891089685,-71.8682420907803 45.4282933612102,-71.8681753719942 45.4283048994407,-71.8681315655729 45.42831552425)
2853||AXE DORMAN| ||3,000000000000000|Piste cyclable (exclusif)|Asphalte|Piste cyclable|Piste cyclable au niveau du trottoir|Approximation|53,696145564475998|LINESTRING (-71.8693456104839 45.4284035972437,-71.8692127037306 45.4283758454944,-71.8690254264793 45.4283780906546,-71.8688957165053 45.4283656832921,-71.8686766895756 45.4283179235764)
2854||AXE DORMAN| ||0,000000000000000|Voie partagée|Asphalte|Voie partagée|Chaussée désignée|Approximation|657,341123565474960|LINESTRING (-71.8871068861981 45.4273128351261,-71.8868682114718 45.4273231135613,-71.8866788262936 45.4273173370514,-71.8862965476871 45.4273381305972,-71.8860561829003 45.4273582093123,-71.8857857950377 45.427381680762,-71.885586944976 45.427399236341,-71.8854225167872 45.4274173827398,-71.8853323959901 45.4274255425712,-71.8852636988089 45.4274304144441,-71.8850647002561 45.4274419130668,-71.8834701196747 45.4274279275269,-71.8828692217452 45.4274200633928,-71.8821895184395 45.4274141586405,-71.8815486618889 45.427413836854,-71.8806293616535 45.4274007255286,-71.8802177985831 45.4273966153099,-71.8798306751912 45.4273952363473,-71.8797519200896 45.4273992158842,-71.8796964171277 45.4274160388941,-71.8796567298472 45.4274346891955,-71.8796145432252 45.4274685124946,-71.8795968454284 45.4275070872565,-71.8795879928789 45.427555650676,-71.8795855060855 45.4276889353577,-71.8795797370339 45.4278359438336,-71.8795776777991 45.4279320177979,-71.879575397592 45.4280721038048)
2855||AXE DORMAN| ||0,000000000000000|Voie partagée|Asphalte|Accotement asphalté ou bande cyclable|Accotement asphalté|Approximation|242,982775198130010|LINESTRING (-71.8871824134224 45.4294982604773,-71.8871681398586 45.4287698617974,-71.8871582222792 45.4283650459979,-71.8871068861981 45.4273128351261)
